,id,url,age,gender,name,description,status,status_changed_at,published_at,primary,secondary,mixed,address1,address2,city,state,zip,country,small_photo,medium_photo,large_photo
22,59310397,https://www.petfinder.com/cat/campbell-59310397/ia/waterloo/cedar-bend-humane-society-ia36/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de,Adult,Male,Campbell,"MY STORY:  Campbell arrived at CBHS as a stray

AGE:  Approximately 3  years old.

 Bio coming soon!

Cedar Bend Humane...",adopted,2023-01-02T22:03:21+0000,2022-12-31T18:41:22+0000,Domestic Short Hair,,False,1166 West Airline Highway,,Waterloo,IA,50703,US,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310397/4/?bust=1672512080&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310397/4/?bust=1672512080&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310397/4/?bust=1672512080&width=600
23,59310391,https://www.petfinder.com/dog/scooter-59310391/md/hollywood/animal-relief-fund-md84/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de,Young,Male,Scooter,You can fill out an adoption application online on our official website.Scooter was rescued from a local animal shelter. He...,adopted,2022-12-31T18:41:01+0000,2022-12-31T18:40:59+0000,Chihuahua,Terrier,True,P.O. Box 184,,Hollywood,MD,20636,US,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310391/1/?bust=1673378462&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310391/1/?bust=1673378462&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310391/1/?bust=1673378462&width=600
24,59310387,https://www.petfinder.com/dog/elvis-59310387/ca/los-angeles/kosmas-garden-of-angeles-inc-ca2770/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de,Young,Male,Elvis,"Elvis, 2 year old male Shih Tzu.  Sweet and friendly but coming from puppymill background.  Not housebroken.  Good with other...",adopted,2023-01-09T00:37:38+0000,2022-12-31T18:40:06+0000,Shih Tzu,,False,,,Los Angeles,CA,90014,US,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310387/2/?bust=1672512004&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310387/2/?bust=1672512004&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310387/2/?bust=1672512004&width=600
25,59310386,https://www.petfinder.com/dog/paddles-59310386/sc/columbia/basset-rescue-crew-of-the-southeast-sc360/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de,Young,Male,Paddles,Looking for a young man to join your family? This is Paddles! A Neutered male hound mix that has been...,adopted,2023-01-09T01:37:32+0000,2022-12-31T18:39:58+0000,Hound,Dachshund,True,PO Box 2273,,Columbia,SC,29202,US,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310386/3/?bust=1672511997&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310386/3/?bust=1672511997&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310386/3/?bust=1672511997&width=600
26,59310323,https://www.petfinder.com/cat/ishaan-59310323/va/fincastle/league-for-animal-protection-va36/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de,Baby,Male,Ishaan,"This sweet boy is a little shy right now, but already snuggles in your arms. He will be neutered and...",adopted,2023-01-06T01:41:01+0000,2022-12-31T18:34:39+0000,Bengal,,False,PO Box 561,603  Poor Farm Road,Fincastle,VA,24090,US,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310323/2/?bust=1672511677&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310323/2/?bust=1672511677&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310323/2/?bust=1672511677&width=600
27,59310274,https://www.petfinder.com/cat/enzo-59310274/nj/pleasantville/atlantic-county-animal-shelter-nj140/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de,Adult,Male,Enzo,This is Enzo!  He is one of our FIV positive kitty cats that is looking to start the new year...,adopted,2023-01-07T18:33:48+0000,2022-12-31T18:26:41+0000,Domestic Long Hair,,False,240 Old Turn Pike Rd.,,Pleasantville,NJ,08232,US,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310274/1/?bust=1672511200&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310274/1/?bust=1672511200&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310274/1/?bust=1672511200&width=600
28,59310259,https://www.petfinder.com/cat/binx-59310259/mi/fenton/heavens-half-acre-rescue-and-sanctuary-mi1011/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de,Baby,Male,Binx,"Meet Binx!! He’s 4 months old, He is such a sweetheart and loves to play, be held, loves kids, and...",adopted,2023-01-01T15:41:46+0000,2022-12-31T18:26:17+0000,Domestic Short Hair,,False,,,Fenton,MI,48430,US,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310259/5/?bust=1672510943&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310259/5/?bust=1672510943&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310259/5/?bust=1672510943&width=600
29,59310271,https://www.petfinder.com/dog/jax-59310271/va/moneta/my-best-friend-rescue-co515/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de,Adult,Male,Jax,"Meet Jax! He&#039;s a super sweet and chill dude! As you can see, he&#039;s a ride or die type, he...",adopted,2023-01-07T03:24:58+0000,2022-12-31T18:25:37+0000,Shepherd,Mixed Breed,True,,,Moneta,VA,24121,US,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310271/3/?bust=1672511135&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310271/3/?bust=1672511135&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310271/3/?bust=1672511135&width=600
30,59310269,https://www.petfinder.com/dog/jax-59310269/az/lake-havasu-city/my-best-friend-rescue-co515/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de,Adult,Male,Jax,"Meet Jax! He&#039;s a super sweet and chill dude! As you can see, he&#039;s a ride or die type, he...",adopted,2023-01-07T03:25:02+0000,2022-12-31T18:25:01+0000,Shepherd,Mixed Breed,True,,,Lake Havasu City,AZ,86404,US,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310269/3/?bust=1672511099&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310269/3/?bust=1672511099&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310269/3/?bust=1672511099&width=600
31,59310268,https://www.petfinder.com/cat/raven-59310268/fl/tierra-verde/cat-kids-rescue-fl1722/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de,Adult,Male,Raven,"Raven is a 6-year-old, Maine Coon mix, with medium length, fine, silky fur and little curls on his belly.  He...",adopted,2023-01-09T17:50:26+0000,2022-12-31T18:24:49+0000,Domestic Long Hair,Maine Coon,True,,,Tierra Verde,FL,33715,US,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310268/1/?bust=1672511087&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310268/1/?bust=1672511087&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310268/1/?bust=1672511087&width=600
32,59310266,https://www.petfinder.com/dog/jax-59310266/co/trinidad/my-best-friend-rescue-co515/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de,Adult,Male,Jax,"Meet Jax! He&#039;s a super sweet and chill dude! As you can see, he&#039;s a ride or die type, he...",adopted,2023-01-07T03:25:07+0000,2022-12-31T18:24:28+0000,Shepherd,Mixed Breed,True,,,Trinidad,CO,81082,US,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310266/3/?bust=1672511037&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310266/3/?bust=1672511037&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310266/3/?bust=1672511037&width=600
33,59310255,https://www.petfinder.com/cat/henry-fiv-59310255/co/aurora/animal-rescue-of-the-rockies-co202/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de,Adult,Male,Henry (FIV+),"Henry may be the sweetest cat to ever walk the face of the earth, but please, PROCEED WITH CAUTION, because...",adopted,2022-12-31T18:20:21+0000,2022-12-31T18:20:19+0000,Domestic Short Hair,,False,,,Aurora,CO,80012,US,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310255/3/?bust=1673162930&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310255/3/?bust=1673162930&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310255/3/?bust=1673162930&width=600
34,59310251,https://www.petfinder.com/cat/sarah-59310251/ms/southaven/new-beginnings-animal-rescue-ms235/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de,Baby,Female,SARAH,You can fill out an adoption application online on our official website.Sarah is one of three kittens that lost their...,adopted,2022-12-31T18:19:49+0000,2022-12-31T18:19:47+0000,Domestic Short Hair,Tabby,True,,,Southaven,MS,38672,US,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310251/1/?bust=1673163841&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310251/1/?bust=1673163841&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310251/1/?bust=1673163841&width=600
35,59310250,https://www.petfinder.com/cat/piano-59310250/ms/southaven/new-beginnings-animal-rescue-ms235/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de,Young,Male,PIANO,You can fill out an adoption application online on our official website.Meet PIANO! Looking for a chill cat that gets...,adopted,2022-12-31T18:19:48+0000,2022-12-31T18:19:46+0000,Tabby,,True,,,Southaven,MS,38672,US,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310250/1/?bust=1673163743&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310250/1/?bust=1673163743&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310250/1/?bust=1673163743&width=600
