,id,type,name,age,gender,city,breed,city,zip,large_photo,state,species,status,url
326,59310529,Dog,Forrest Gump,Adult,Male,Green Cove Springs,American Staffordshire Terrier,Green Cove Springs,32043,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310529/1/?bust=1673159264&width=600,FL,Dog,adoptable,https://www.petfinder.com/dog/forrest-gump-59310529/fl/green-cove-springs/clay-county-animal-services-fl380/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
327,59310527,Cat,Sophia,Young,Female,Green Cove Springs,Domestic Short Hair,Green Cove Springs,32043,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310527/1/?bust=1673159255&width=600,FL,Cat,adoptable,https://www.petfinder.com/cat/sophia-59310527/fl/green-cove-springs/clay-county-animal-services-fl380/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
328,59310514,Cat,Felix,Adult,Male,Columbia Station,Domestic Short Hair,Columbia Station,44028,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310514/3/?bust=1673216363&width=600,OH,Cat,adoptable,https://www.petfinder.com/cat/felix-59310514/oh/columbia-station/berea-animal-rescue-fund-shelter-oh75/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
329,59310512,Cat,Frosty,Young,Male,Chesterfield ,Domestic Long Hair,Chesterfield ,29709,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310512/4/?bust=1673034463&width=600,SC,Cat,adoptable,https://www.petfinder.com/cat/frosty-59310512/sc/chesterfield/jtrkitties-sc527/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
330,59310508,Cat,Tango,Young,Male,Springfield,Domestic Short Hair,Springfield,62703,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310508/4/?bust=1672513522&width=600,IL,Cat,adoptable,https://www.petfinder.com/cat/tango-59310508/il/springfield/sangamon-county-animal-control-center-il181/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
331,59310507,Dog,Charlie Brown ,Baby,Male,Mount Juliet,Boxer,Mount Juliet,37122,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310507/1/?bust=1672714754&width=600,TN,Dog,adoptable,https://www.petfinder.com/dog/charlie-brown-59310507/tn/mount-juliet/life-house-animal-refuge-and-rehabilitation-tn411/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
332,59310503,Dog,Miracle,Adult,Female,Carrollton,Basset Hound,Carrollton,75011,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310503/3/?bust=1673220616&width=600,TX,Dog,adoptable,https://www.petfinder.com/dog/miracle-59310503/tx/carrollton/basset-rescue-across-texas-inc-tx1552/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
333,59310478,Cat,Arabella,Baby,Female,Norfolk,Domestic Short Hair,Norfolk,23504,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310478/1/?bust=1673158983&width=600,VA,Cat,adoptable,https://www.petfinder.com/cat/arabella-59310478/va/norfolk/norfolk-spca-va54/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
334,59310475,Dog,Batman,Young,Male,Lakeland,Basset Hound,Lakeland,33813,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310475/1/?bust=1673159124&width=600,FL,Dog,adoptable,https://www.petfinder.com/dog/batman-59310475/fl/lakeland/spca-florida-fl221/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
335,59310474,Dog,Abel,Young,Male,Knoxville,Mixed Breed,Knoxville,37919,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310474/3/?bust=1673407551&width=600,TN,Dog,adoptable,https://www.petfinder.com/dog/abel-59310474/tn/knoxville/young-williams-animal-center-tn61/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
336,59310467,Dog,Zap,Young,Male,Knoxville,Terrier,Knoxville,37919,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310467/1/?bust=1673028197&width=600,TN,Dog,adoptable,https://www.petfinder.com/dog/zap-59310467/tn/knoxville/young-williams-animal-center-tn61/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
337,59310465,Dog,Paprika,Young,Female,Knoxville,Pit Bull Terrier,Knoxville,37919,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310465/2/?bust=1673464265&width=600,TN,Dog,adoptable,https://www.petfinder.com/dog/paprika-59310465/tn/knoxville/young-williams-animal-center-tn61/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
338,59310464,Dog,Thomas,Adult,Male,Knoxville,Pit Bull Terrier,Knoxville,37919,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310464/1/?bust=1673471338&width=600,TN,Dog,adoptable,https://www.petfinder.com/dog/thomas-59310464/tn/knoxville/young-williams-animal-center-tn61/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
339,59310470,Dog,Wonder,Young,Male,Knoxville,Pit Bull Terrier,Knoxville,37919,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310470/3/?bust=1673566737&width=600,TN,Dog,adoptable,https://www.petfinder.com/dog/wonder-59310470/tn/knoxville/young-williams-animal-center-tn61/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de
